Mechanism Code,OU,Agency,Fiscal Year,Implementing Mechanism Name
70356,Tanzania,USAID,2018,Placeholder - 70356 Tanzania USAID
70357,Tanzania,USAID,2018,Placeholder - 70357 Tanzania USAID
70358,Tanzania,USAID,2018,Placeholder - 70358 Tanzania USAID
70359,Tanzania,USAID,2018,Placeholder - 70359 Tanzania USAID
70360,Tanzania,USAID,2018,Placeholder - 70360 Tanzania USAID
70361,Tanzania,USAID,2018,Placeholder - 70361 Tanzania USAID
70362,Tanzania,USAID,2018,Placeholder - 70362 Tanzania USAID
70363,Uganda,DOD,2018,Placeholder - 70363 Uganda DOD
70364,Uganda,DOD,2018,Placeholder - 70364 Uganda DOD
70365,Uganda,DOD,2018,Placeholder - 70365 Uganda DOD
70366,Uganda,DOD,2018,Placeholder - 70366 Uganda DOD
70367,Uganda,HHS/CDC,2018,Placeholder - 70367 Uganda HHS/CDC
70368,Uganda,HHS/CDC,2018,Placeholder - 70368 Uganda HHS/CDC
70369,Uganda,HHS/CDC,2018,Placeholder - 70369 Uganda HHS/CDC
70370,Uganda,HHS/CDC,2018,Placeholder - 70370 Uganda HHS/CDC
70371,Uganda,HHS/CDC,2018,Placeholder - 70371 Uganda HHS/CDC
70372,Uganda,HHS/CDC,2018,Placeholder - 70372 Uganda HHS/CDC
70373,Uganda,HHS/CDC,2018,Placeholder - 70373 Uganda HHS/CDC
70374,Uganda,HHS/CDC,2018,Placeholder - 70374 Uganda HHS/CDC
70375,Uganda,HHS/CDC,2018,Placeholder - 70375 Uganda HHS/CDC
70376,Uganda,HHS/CDC,2018,Placeholder - 70376 Uganda HHS/CDC
70377,Uganda,HHS/CDC,2018,Placeholder - 70377 Uganda HHS/CDC
70378,Uganda,HHS/CDC,2018,Placeholder - 70378 Uganda HHS/CDC
70379,Uganda,HHS/HRSA,2018,Placeholder - 70379 Uganda HHS/HRSA
70380,Uganda,HHS/HRSA,2018,Placeholder - 70380 Uganda HHS/HRSA
70381,Uganda,HHS/HRSA,2018,Placeholder - 70381 Uganda HHS/HRSA
70382,Uganda,PC,2018,Placeholder - 70382 Uganda PC
70383,Uganda,PC,2018,Placeholder - 70383 Uganda PC
70384,Uganda,USAID,2018,Placeholder - 70384 Uganda USAID
70385,Uganda,USAID,2018,Placeholder - 70385 Uganda USAID
70386,Uganda,USAID,2018,Placeholder - 70386 Uganda USAID
70387,Uganda,USAID,2018,Placeholder - 70387 Uganda USAID
70388,Uganda,USAID,2018,Placeholder - 70388 Uganda USAID
70389,Uganda,USAID,2018,Placeholder - 70389 Uganda USAID
70390,Uganda,USAID,2018,Placeholder - 70390 Uganda USAID
70391,Uganda,USAID,2018,Placeholder - 70391 Uganda USAID
70392,Uganda,USAID,2018,Placeholder - 70392 Uganda USAID
70393,Uganda,USAID,2018,Placeholder - 70393 Uganda USAID
70394,Uganda,USAID,2018,Placeholder - 70394 Uganda USAID
70395,Uganda,USAID,2018,Placeholder - 70395 Uganda USAID
70396,Uganda,USAID,2018,Placeholder - 70396 Uganda USAID
70397,Uganda,USAID,2018,Placeholder - 70397 Uganda USAID
70398,Ukraine,DOD,2018,Placeholder - 70398 Ukraine DOD
70399,Ukraine,DOD,2018,Placeholder - 70399 Ukraine DOD
70400,Ukraine,DOD,2018,Placeholder - 70400 Ukraine DOD
70401,Ukraine,HHS/CDC,2018,Placeholder - 70401 Ukraine HHS/CDC
70402,Ukraine,HHS/CDC,2018,Placeholder - 70402 Ukraine HHS/CDC
70403,Ukraine,HHS/CDC,2018,Placeholder - 70403 Ukraine HHS/CDC
70404,Ukraine,HHS/CDC,2018,Placeholder - 70404 Ukraine HHS/CDC
70405,Ukraine,HHS/HRSA,2018,Placeholder - 70405 Ukraine HHS/HRSA
70406,Ukraine,HHS/HRSA,2018,Placeholder - 70406 Ukraine HHS/HRSA
70407,Ukraine,HHS/HRSA,2018,Placeholder - 70407 Ukraine HHS/HRSA
70408,Ukraine,PC,2018,Placeholder - 70408 Ukraine PC
70409,Ukraine,PC,2018,Placeholder - 70409 Ukraine PC
70410,Ukraine,USAID,2018,Placeholder - 70410 Ukraine USAID
70411,Ukraine,USAID,2018,Placeholder - 70411 Ukraine USAID
70412,Ukraine,USAID,2018,Placeholder - 70412 Ukraine USAID
70413,Ukraine,USAID,2018,Placeholder - 70413 Ukraine USAID
70414,Ukraine,USAID,2018,Placeholder - 70414 Ukraine USAID
70415,Ukraine,USAID,2018,Placeholder - 70415 Ukraine USAID
70416,Vietnam,DOD,2018,Placeholder - 70416 Vietnam DOD
70417,Vietnam,DOD,2018,Placeholder - 70417 Vietnam DOD
70418,Vietnam,HHS/CDC,2018,Placeholder - 70418 Vietnam HHS/CDC
70419,Vietnam,HHS/CDC,2018,Placeholder - 70419 Vietnam HHS/CDC
70420,Vietnam,HHS/CDC,2018,Placeholder - 70420 Vietnam HHS/CDC
70421,Vietnam,HHS/HRSA,2018,Placeholder - 70421 Vietnam HHS/HRSA
70422,Vietnam,HHS/HRSA,2018,Placeholder - 70422 Vietnam HHS/HRSA
70423,Vietnam,HHS/SAMHSA,2018,Placeholder - 70423 Vietnam HHS/SAMHSA
70424,Vietnam,HHS/SAMHSA,2018,Placeholder - 70424 Vietnam HHS/SAMHSA
70425,Vietnam,HHS/SAMHSA,2018,Placeholder - 70425 Vietnam HHS/SAMHSA
70426,Vietnam,HHS/SAMHSA,2018,Placeholder - 70426 Vietnam HHS/SAMHSA
70427,Vietnam,USAID,2018,Placeholder - 70427 Vietnam USAID
70428,Vietnam,USAID,2018,Placeholder - 70428 Vietnam USAID
70429,Vietnam,USAID,2018,Placeholder - 70429 Vietnam USAID
70430,Vietnam,USAID,2018,Placeholder - 70430 Vietnam USAID
70431,Vietnam,USAID,2018,Placeholder - 70431 Vietnam USAID
70432,Zambia,DOD,2018,Placeholder - 70432 Zambia DOD
70433,Zambia,DOD,2018,Placeholder - 70433 Zambia DOD
70434,Zambia,HHS/CDC,2018,Placeholder - 70434 Zambia HHS/CDC
70435,Zambia,HHS/CDC,2018,Placeholder - 70435 Zambia HHS/CDC
70436,Zambia,HHS/CDC,2018,Placeholder - 70436 Zambia HHS/CDC
70437,Zambia,HHS/CDC,2018,Placeholder - 70437 Zambia HHS/CDC
70438,Zambia,HHS/CDC,2018,Placeholder - 70438 Zambia HHS/CDC
70439,Zambia,HHS/CDC,2018,Placeholder - 70439 Zambia HHS/CDC
70440,Zambia,HHS/CDC,2018,Placeholder - 70440 Zambia HHS/CDC
70441,Zambia,HHS/CDC,2018,Placeholder - 70441 Zambia HHS/CDC
70442,Zambia,HHS/CDC,2018,Placeholder - 70442 Zambia HHS/CDC
70443,Zambia,HHS/CDC,2018,Placeholder - 70443 Zambia HHS/CDC
70444,Zambia,HHS/CDC,2018,Placeholder - 70444 Zambia HHS/CDC
70445,Zambia,HHS/CDC,2018,Placeholder - 70445 Zambia HHS/CDC
70446,Zambia,HHS/HRSA,2018,Placeholder - 70446 Zambia HHS/HRSA
70447,Zambia,HHS/HRSA,2018,Placeholder - 70447 Zambia HHS/HRSA
70448,Zambia,HHS/HRSA,2018,Placeholder - 70448 Zambia HHS/HRSA
70449,Zambia,HHS/HRSA,2018,Placeholder - 70449 Zambia HHS/HRSA
70450,Zambia,PC,2018,Placeholder - 70450 Zambia PC
70451,Zambia,PC,2018,Placeholder - 70451 Zambia PC
70452,Zambia,PC,2018,Placeholder - 70452 Zambia PC
70453,Zambia,USAID,2018,Placeholder - 70453 Zambia USAID
70454,Zambia,USAID,2018,Placeholder - 70454 Zambia USAID
70455,Zambia,USAID,2018,Placeholder - 70455 Zambia USAID
70456,Zambia,USAID,2018,Placeholder - 70456 Zambia USAID
70457,Zambia,USAID,2018,Placeholder - 70457 Zambia USAID
70458,Zambia,USAID,2018,Placeholder - 70458 Zambia USAID
70459,Zambia,USAID,2018,Placeholder - 70459 Zambia USAID
70460,Zambia,USAID,2018,Placeholder - 70460 Zambia USAID
70461,Zambia,USAID,2018,Placeholder - 70461 Zambia USAID
70462,Zambia,USAID,2018,Placeholder - 70462 Zambia USAID
70463,Zambia,USAID,2018,Placeholder - 70463 Zambia USAID
70464,Zimbabwe,HHS/CDC,2018,Placeholder - 70464 Zimbabwe HHS/CDC
70465,Zimbabwe,HHS/CDC,2018,Placeholder - 70465 Zimbabwe HHS/CDC
70466,Zimbabwe,HHS/CDC,2018,Placeholder - 70466 Zimbabwe HHS/CDC
70467,Zimbabwe,HHS/CDC,2018,Placeholder - 70467 Zimbabwe HHS/CDC
70468,Zimbabwe,HHS/CDC,2018,Placeholder - 70468 Zimbabwe HHS/CDC
70469,Zimbabwe,HHS/CDC,2018,Placeholder - 70469 Zimbabwe HHS/CDC
70470,Zimbabwe,HHS/HRSA,2018,Placeholder - 70470 Zimbabwe HHS/HRSA
70471,Zimbabwe,HHS/HRSA,2018,Placeholder - 70471 Zimbabwe HHS/HRSA
70472,Zimbabwe,HHS/HRSA,2018,Placeholder - 70472 Zimbabwe HHS/HRSA
70473,Zimbabwe,USAID,2018,Placeholder - 70473 Zimbabwe USAID
70474,Zimbabwe,USAID,2018,Placeholder - 70474 Zimbabwe USAID
70475,Zimbabwe,USAID,2018,Placeholder - 70475 Zimbabwe USAID
70476,Zimbabwe,USAID,2018,Placeholder - 70476 Zimbabwe USAID
70477,Zimbabwe,USAID,2018,Placeholder - 70477 Zimbabwe USAID
70478,Zimbabwe,USAID,2018,Placeholder - 70478 Zimbabwe USAID
70479,Zimbabwe,USAID,2018,Placeholder - 70479 Zimbabwe USAID
70500,Botswana,State/SGAC,2018,Placeholder - 70500 Botswana State/SGAC
70501,Burundi,State/SGAC,2018,Placeholder - 70501 Burundi State/SGAC
70502,Cameroon,State/SGAC,2018,Placeholder - 70502 Cameroon State/SGAC
70503,Cote d'Ivoire,State/SGAC,2018,Placeholder - 70503 Cote d'Ivoire State/SGAC
70504,Democratic Republic of the Congo,State/SGAC,2018,Placeholder - 70504 Democratic Republic of the Congo State/SGAC
70505,Ethiopia,State/SGAC,2018,Placeholder - 70505 Ethiopia State/SGAC
70506,Haiti,State/SGAC,2018,Placeholder - 70506 Haiti State/SGAC
70507,Kenya,State/SGAC,2018,Placeholder - 70507 Kenya State/SGAC
70508,Lesotho,State/SGAC,2018,Placeholder - 70508 Lesotho State/SGAC
70509,Malawi,State/SGAC,2018,Placeholder - 70509 Malawi State/SGAC
70510,Mozambique,State/SGAC,2018,Placeholder - 70510 Mozambique State/SGAC
70511,Namibia,State/SGAC,2018,Placeholder - 70511 Namibia State/SGAC
70512,Nigeria,State/SGAC,2018,Placeholder - 70512 Nigeria State/SGAC
70513,Rwanda,State/SGAC,2018,Placeholder - 70513 Rwanda State/SGAC
70514,South Africa,State/SGAC,2018,Placeholder - 70514 South Africa State/SGAC
70515,South Sudan,State/SGAC,2018,Placeholder - 70515 South Sudan State/SGAC
70516,Swaziland,State/SGAC,2018,Placeholder - 70516 Swaziland State/SGAC
70517,Tanzania,State/SGAC,2018,Placeholder - 70517 Tanzania State/SGAC
70518,Uganda,State/SGAC,2018,Placeholder - 70518 Uganda State/SGAC
70519,Ukraine,State/SGAC,2018,Placeholder - 70519 Ukraine State/SGAC
70520,Vietnam,State/SGAC,2018,Placeholder - 70520 Vietnam State/SGAC
70521,Zambia,State/SGAC,2018,Placeholder - 70521 Zambia State/SGAC
70522,Zimbabwe,State/SGAC,2018,Placeholder - 70522 Zimbabwe State/SGAC
80002,South Africa,USAID,2018,Placeholder – 80002 South Africa USAID
80004,South Africa,USAID,2018,Placeholder – 80004 South Africa USAID
80005,South Africa,USAID,2018,Placeholder – 80005 South Africa USAID
80006,South Africa,USAID,2018,Placeholder – 80006 South Africa USAID
80007,South Africa,USAID,2018,Placeholder – 80007 South Africa USAID
80008,South Africa,USAID,2018,Placeholder – 80008 South Africa USAID
80009,South Africa,USAID,2018,Placeholder – 80009 South Africa USAID
80010,South Africa,USAID,2018,Placeholder – 80010 South Africa USAID
80011,South Africa,USAID,2018,Placeholder – 80011 South Africa USAID
80012,South Africa,USAID,2018,Placeholder – 80012 South Africa USAID
